,brand,model,raw_model,category,lens_width,nose_bridge,temple_length,frame_width
346,Laura Ashley,LA 678B COL.3,LA678BCOL3,Женские оправы для очков,51,17,135,135
347,Ventoe,VCL 4211 C11,VCL4211C11,Женские оправы для очков,56,16,140,136
348,Swing,TR 385 COL.378,TR385COL378,Женские оправы для очков,51,18,140,137
349,Sferoflex,SF 1576-C585,SF1576C585,Женские оправы для очков,54,15,135,140
350,U.s. Polo Assn,USO 0048 C3,USO0048C3,Женские оправы для очков,50,20,142,130
351,U.s. Polo Assn,USO 0067 C4,USO0067C4,Женские оправы для очков,52,20,145,140
352,U.s. Polo Assn,USO 0067 C1,USO0067C1,Женские оправы для очков,52,20,145,140
353,U.s. Polo Assn,USO 0067 C2,USO0067C2,Женские оправы для очков,52,20,145,140
354,Blancia,BC-183 C1,BC183C1,Женские оправы для очков,53,13,135,137
355,Blancia,BC-185 C.3,BC185C3,Женские оправы для очков,50,19,140,140
356,Blancia,BC-180 C1,BC180C1,Женские оправы для очков,52,19,140,134
357,Blancia,BC-209 C.3,BC209C3,Женские оправы для очков,53,19,140,132
358,Boss Orange,"BO 0329, YZ4",BO0329YZ4,Оправы для очков,57,16,140,140
359,Boss Hugo Boss,"BOSS 1312, 003",BOSS1312003,Оправы для очков,57,16,145,143
360,Boss Hugo Boss,"BOSS 1246, CNI",BOSS1246CNI,Оправы для очков,56,19,150,142
361,Carrera,"CARRERA HYPERFIT 14, KB7",CARRERAHYPERFIT14KB7,Оправы для очков,53,16,140,136
362,Emporio Armani,EA 1041-3003 (55),EA1041300355,Оправы для очков,55,17,140,138
363,Marc Jacobs,"MARC 258, PJP",MARC258PJP,Оправы для очков,52,14,140,135
364,Pierre Cardin,"PC 6245, PJP",PC6245PJP,Оправы для очков,56,17,150,140
365,Pierre Cardin,"PC 6231, 807",PC6231807,Оправы для очков,57,18,145,145
366,Pierre Cardin,"PC 6876, R80",PC6876R80,Оправы для очков,57,20,150,147
367,Fisher Price Kids,FPVN020 BLUE (49),FPVN020BLUE49,Оправы для очков,49,19,130,128
368,Fisher Price Kids,FPVN018 GRY (47),FPVN018GRY47,Оправы для очков,47,15,130,121
369,Pierre Cardin,"PC 6852, 09Q",PC685209Q,Оправы для очков,54,17,150,136
370,You's,927-203,927203,Оправы для очков,54,19,140,140
371,You's,786 - 205,786205,Оправы для очков,52,18,140,130
372,Fisher Price Kids,FPVN009 PTL (47),FPVN009PTL47,Оправы для очков,47,15,120,121
373,Fisher Price Kids,FPVN019 PTL (47),FPVN019PTL47,Оправы для очков,47,16,130,122
374,Fisher Price Kids,FPCL005 YLW (46),FPCL005YLW46,Оправы для очков,46,17,130,123
375,Demetz,TRANSLATIO HAD19-00242 (5816),TRANSLATIOHAD19002425816,Оправы для очков,58,16,120,145
376,You's,980 - 203,980203,Оправы для очков,54,18,140,140
377,Tom Ford,TF 5412-052,TF5412052,Оправы для очков,52,17,140,135
378,Tom Ford,TF 5514-052,TF5514052,Оправы для очков,54,15,140,130
379,Fisher Price Kids,FPVN025 BLK (50),FPVN025BLK50,Оправы для очков,50,14,130,120
380,Jaguar,31015-6499,310156499,Оправы для очков,58,13,140,134
381,Polaroid,"PLD D324, KJ1",PLDD324KJ1,Оправы для очков,54,18,145,136
382,Eyelet Kids,EJ136 A1,EJ136A1,Оправы для очков,46,18,135,125
383,Eyelet Kids,EJ1310 A1,EJ1310A1,Оправы для очков,48,16,130,125
384,Ray Ban,RB 3747V-2500,RB3747V2500,Оправы для очков,47,21,140,123
385,Tokidoki Kids,TKV-008-301,TKV008301,Оправы для очков,52,16,140,130
386,Barbie Kids,"BBV008, PNK",BBV008PNK,Оправы для очков,48,19,135,125
387,Eyelet Kids,EJ139 A1,EJ139A1,Оправы для очков,44,16,125,120
388,Polaroid,"PLD D458/G, 807",PLDD458G807,Оправы для очков,54,17,145,140
389,Safilo,"7A 001, R80",7A001R80,Оправы для очков,54,17,145,136
390,Maxmara,"MM 1271, USO",MM1271USO,Оправы для очков,50,18,135,135
391,Silhouette,2876-6050,28766050,Оправы для очков,50,17,145,135
392,Boss Hugo Boss,"BOSS 1181, R81",BOSS1181R81,Оправы для очков,53,19,145,140
393,Tom Ford,TF 5189- 055,TF5189055,Оправы для очков,54,17,140,134
394,Valentin Yudashkin,VYF 154 C02,VYF154C02,Оправы для очков,54,18,140,135
395,Jaguar,MFL,MFL,Оправы для очков,54,17,135,130
396,Jaguar,33090-5100,330905100,Оправы для очков,59,16,145,141
397,Andy Wolf,5018 COL. D,5018COLD,Оправы для очков,54,15,140,135
398,Vogue,VO 3940-352-S,VO3940352S,Оправы для очков,52,16,140,133
399,Barbie Kids,BE-139-660,BE139660,Оправы для очков,47,15,120,120
400,Barbie Kids,"BBCL002, PNK",BBCL002PNK,Оправы для очков,46,18,130,124
401,Polaroid,"PLD D419, KB7",PLDD419KB7,Оправы для очков,51,19,145,133
402,Ray Ban,RB 7191-8142,RB71918142,Оправы для очков,53,19,140,142
403,William Morris,LN50288 C1,LN50288C1,Оправы для очков,54,16,143,137
404,Tommy Hilfiger,"TH 1540, 35J",TH154035J,Оправы для очков,49,20,145,135
405,Tommy Hilfiger,"TH 1511/F, 807",TH1511F807,Оправы для очков,55,17,145,143
406,Nano,"ISTA, NAO620742",ISTANAO620742,Оправы для очков,42,15,107,110
407,Nano,"ISTA, NAO3050347",ISTANAO3050347,Оправы для очков,47,14,136,120
408,Silicon Baby,NV163441,NV163441,Оправы для очков,41,15,122,114
409,Nano,"ISTA, NAO620640",ISTANAO620640,Оправы для очков,40,14,107,105
410,Silicon Baby,NV163436,NV163436,Оправы для очков,36,14,105,105
411,Nano,"ISTA, NAO3180448",ISTANAO3180448,Оправы для очков,48,15,132,125
412,You's,976 - 205,976205,Оправы для очков,49,20,140,130
413,You's,833 - 21,83321,Оправы для очков,52,17,145,125
414,You's,814 - 15B,81415B,Оправы для очков,51,18,140,135
415,Nano,"ISTA, NAO2040343",ISTANAO2040343,Оправы для очков,43,15,125,120
416,Leonardo D,LD 600 70-D,LD60070D,Оправы для очков,56,16,140,138
417,Fisher Price Kids,FPCL001 PRP (47),FPCL001PRP47,Оправы для очков,47,17,130,123
418,Andy Wolf,4574 COL. B,4574COLB,Оправы для очков,54,16,145,128
419,Vogue,VO 5355-2842,VO53552842,Оправы для очков,51,16,135,128
420,Vogue,VO 4024 - 352,VO4024352,Оправы для очков,52,18,135,132
421,Vogue,VO 4178-5078,VO41785078,Оправы для очков,52,18,135,132
422,Silicon Baby,NV202043,NV202043,Оправы для очков,43,14,122,113
423,Nano,"ISTA, NAO3040142 (620140)",ISTANAO3040142620140,Оправы для очков,42(40),12(14),117(107),105
424,Nano,"ISTA GLOW, NAO621942H",ISTAGLOWNAO621942H,Оправы для очков,42,15,107,115
425,Prada,"VPS 10A, TIQ-1O1",VPS10ATIQ1O1,Оправы для очков,54,17,140,135
426,Bulget,BG1740T 05B,BG1740T05B,Оправы для очков,53,18,142,137
427,Bulget,BG1751T 09A,BG1751T09A,Оправы для очков,53,17,140,135
428,Nano,"ISTA, NAO620842H",ISTANAO620842H,Оправы для очков,42,15,107,113
429,Crocs Kids,CF4027 COL.20PK,CF4027COL20PK,Оправы для очков,51,17,138,132
430,Crocs Kids,CF3142 COL.20BK,CF3142COL20BK,Оправы для очков,48,18,138,130
431,Tom Ford,TF 5473-052,TF5473052,Оправы для очков,51,20,140,135
432,Tom Ford,TF 5354-075,TF5354075,Оправы для очков,53,14,140,135
433,Nano,"ISTA SOLAR CLIP, NAO621542SC",ISTASOLARCLIPNAO621542SC,Оправы для очков,42,15,107,113
434,Boss Hugo Boss,"BOSS 1350/F, KB7",BOSS1350FKB7,Оправы для очков,49,21,145,138
435,Nano,"ISTA, NAO630547",ISTANAO630547,Оправы для очков,47,16,127,123
436,Nano,"ISTA, NAO710142",ISTANAO710142,Оправы для очков,42,15,127,104
437,Rivera,5685 C1,5685C1,Оправы для очков,52,19,135,132
438,Riva,8512 C6M/C3 С ПРОГРЕССИВНЫМИ ЛИНЗАМИ ESSILOR XION 1.5,8512C6MC3СПРОГРЕССИВНЫМИЛИНЗАМИESSILORXION15,Оправы для очков,54,17,140,137
439,Ray Ban Junior,RB 1053-4064,RB10534064,Оправы для очков,45,18,130,125
440,Nano,"ISTA, NAO622042",ISTANAO622042,Оправы для очков,42,15,107,113
441,Rodenstock,"R2569, B",R2569B,Оправы для очков,55,15,140,130
442,Rodenstock,"R 2608, D",R2608D,Оправы для очков,56,15,145,140
443,Fisher Price Kids,FPM007 C12 (41),FPM007C1241,Оправы для очков,41,16,115,113
444,You's,1015 - 60,101560,Оправы для очков,53,17,135,130
445,You's,1041 - 60,104160,Оправы для очков,52,16,140,135
446,You's,837 - 63,83763,Оправы для очков,55,18,140,135
447,You's,854 - 100,854100,Оправы для очков,50,19,135,135
448,Polaroid,"PLD D360/G, 001",PLDD360G001,Оправы для очков,50,19,145,132
449,Polaroid,"PLD D433, S1V",PLDD433S1V,Оправы для очков,53,17,145,137
450,Boss Hugo Boss,"HG 1126, 08A",HG112608A,Оправы для очков,50,19,145,138
451,Boss Hugo Boss,"HG 0227, 4IN",HG02274IN,Оправы для очков,53,18,140,135
452,Boss Hugo Boss,"HG 0203, R60",HG0203R60,Оправы для очков,54,16,140,135
453,Valentin Yudashkin,VYF 107 C03,VYF107C03,Оправы для очков,54,16,135,140
454,Valentin Yudashkin,VYF CI005 OVL,VYFCI005OVL,Оправы для очков,55,17,145,135
455,Valentin Yudashkin,VYF 076 C01,VYF076C01,Оправы для очков,55,16,140,130
456,Marciano,GM0300 001,GM0300001,Оправы для очков,53,15,135,134
457,Tom Ford,TF 5463-001,TF5463001,Оправы для очков,52,19,140,136
458,Nano,"ISTA, NAO622046",ISTANAO622046,Оправы для очков,46,16,127,120
459,Nano,"ISTA, NAO3030252",ISTANAO3030252,Оправы для очков,52,15,135,130
460,Silhouette,4553-5540,45535540,Оправы для очков,54,16,135,134
461,Silhouette,5541-7520,55417520,Оправы для очков,54,17,145,138
462,Silhouette,5476-6052,54766052,Оправы для очков,55,19,145,140
463,Nano,"ISTA, NAO830550",ISTANAO830550,Оправы для очков,50,19,137,135
464,Nano,"ISTA SOLAR CLIP, NAO572044SC",ISTASOLARCLIPNAO572044SC,Оправы для очков,44,16,127,121
465,Ray Ban,RB 6377-2906,RB63772906,Оправы для очков,48,21,140,136
466,Nano,"ISTA, NAO620142",ISTANAO620142,Оправы для очков,42,15,107,110
467,Despada,DS-989 C.2,DS989C2,Оправы для очков,56,17,145,142
468,Despada,DS-5065 C.02,DS5065C02,Оправы для очков,45,26,147,140
469,Despada,DS-1037 C.1,DS1037C1,Оправы для очков,55,18,145,136
470,La Stella,778 C2,778C2,Оправы для очков,56,18,145,142
471,La Stella Kids,131 C31,131C31,Оправы для очков,48,17,140,128
472,La Stella Kids,MC01-10 C.04,MC0110C04,Оправы для очков,45,18,135,118
473,La Stella Kids,LSO 1060 C04,LSO1060C04,Оправы для очков,51,15,135,127
474,Armani Exchange,AX1018-6017,AX10186017,Оправы для очков,54,17,140,137
475,Nano,"ISTA, NAO2010344",ISTANAO2010344,Оправы для очков,44,18,125,120
476,Nano,"ISTA, NAO2010444",ISTANAO2010444,Оправы для очков,44,18,125,120
477,Nano,"ISTA, NAO2030145",ISTANAO2030145,Оправы для очков,45,16,130,117
478,Nano,"ISTA, NAO2060247",ISTANAO2060247,Оправы для очков,47,17,130,120
479,Ciao Ciao Kids,C278 PK,C278PK,Оправы для очков,45,15,125,115
480,Despada,DS-812 C.1,DS812C1,Оправы для очков,53,18,145,140
481,Despada,DS-1005 C.3,DS1005C3,Оправы для очков,52,19,145,140
482,Despada,DS-5000 C.3,DS5000C3,Оправы для очков,54,16,140,138
483,Despada,DS-5037 C.2,DS5037C2,Оправы для очков,57,17,145,145
484,Despada,DS-841 C.1,DS841C1,Оправы для очков,54,15,143,134
485,Despada,DS-868 C.3,DS868C3,Оправы для очков,54,16,141,134
486,Safilo,"S 315, DOH",S315DOH,Оправы для очков,49,20,130,130
487,Hermossa,HMO-262 C.2,HMO262C2,Оправы для очков,52,17,145,137
488,Hermossa,HMO-272 C.02,HMO272C02,Оправы для очков,56,15,145,143
489,Hermossa,HMO349 C.03,HMO349C03,Оправы для очков,51,20,145,135
490,Hermossa,HMO370 C.03,HMO370C03,Оправы для очков,51,21,140,132
491,Despada,DS-1022 C.3,DS1022C3,Оправы для очков,53,17,145,140
492,Despada,DS-1051 C.3,DS1051C3,Оправы для очков,51,19,142,133
493,Despada,DS-5068 C.4,DS5068C4,Оправы для очков,56,16,140,137
494,Despada,DS-5003 C.2,DS5003C2,Оправы для очков,56,18,145,142
495,Despada,DS-5093 C.2,DS5093C2,Оправы для очков,56,17,140,138
496,Despada,DS-5091 C.2,DS5091C2,Оправы для очков,54,17,145,140
497,Riva,8765 C5,8765C5,Оправы для очков,55,16,135,138
498,Nano,"ISTA, NAO3050249",ISTANAO3050249,Оправы для очков,49,14,136,124
499,Nano,"ISTA, NAO750444",ISTANAO750444,Оправы для очков,44,16,127,120
500,Nano,"ISTA, NAO620442",ISTANAO620442,Оправы для очков,42,15,107,114
501,Nano,"ISTA, NAO571044",ISTANAO571044,Оправы для очков,44,16,127,120
502,Porsche Design,"P8340, A",P8340A,Оправы для очков,57,16,145,140
503,Calvin Klein,CK 5831 317,CK5831317,Оправы для очков,52,19,145,138
504,Nano,"ISTA, NAO3120448",ISTANAO3120448,Оправы для очков,48,15,132,125
505,Nano,"ISTA, NAO3180446",ISTANAO3180446,Оправы для очков,46,14,132,116
506,Nano,"ISTA, NAO50152",ISTANAO50152,Оправы для очков,44,16,127,116
507,Barracuda Kids,BJ-601 C.1,BJ601C1,Оправы для очков,48,17,135,122
508,Jessie Kids,JS 1608 C.2,JS1608C2,Оправы для очков,45,15,130,120
509,Jessie Kids,JSGH-1915 C.1,JSGH1915C1,Оправы для очков,44,14,115,115
510,Polivizor,J3363 C.9,J3363C9,Оправы для очков,55,17,145,140
511,Riviera,RVS-112215 C2,RVS112215C2,Оправы для очков,52,16,140,133
512,Barbie Kids,BAV005-111,BAV005111,Оправы для очков,53,15,135,127
513,Fisher Price Kids,FPVN003 CHR (46),FPVN003CHR46,Оправы для очков,46,14,120,118
514,Fisher Price Kids,FPV/42 C.614 (39),FPV42C61439,Оправы для очков,39,13,115,104
515,Fisher Price Kids,FPV/28 C.593 (43),FPV28C59343,Оправы для очков,43,13,110,113
516,Fisher Price Kids,FPCL003 GREY (46),FPCL003GREY46,Оправы для очков,46,17,130,123
517,Fisher Price Kids,FPV/28 C.550(43),FPV28C55043,Оправы для очков,43,14,120,115
518,Fisher Price Kids,FPV/40 C.520 (42),FPV40C52042,Оправы для очков,42,15,120,113
519,Fisher Price Kids,FPVN013 PRP (45),FPVN013PRP45,Оправы для очков,45,17,130,119
520,Fisher Price Kids,FPV/19 C.520 (36),FPV19C52036,Оправы для очков,36,15,115,110
521,Fisher Price Kids,FPVN017 PTL (48),FPVN017PTL48,Оправы для очков,48,15,135,123
522,Riviera,RVS-919M C5,RVS919MC5,Оправы для очков,52,17,140,126
523,Silicon Baby,NV161036,NV161036,Оправы для очков,36,14,105,105
524,Crocs,CF3158 COL.50BE,CF3158COL50BE,Оправы для очков,53,17,138,130
525,La Stella,773 C2,773C2,Оправы для очков,54,18,145,135
526,La Stella,317 C.2,317C2,Оправы для очков,57,17,142,140
527,La Stella,308 C.1,308C1,Оправы для очков,58,18,145,140
528,La Stella,829 C3,829C3,Оправы для очков,54,17,140,136
529,La Stella,LSO 1018 C1,LSO1018C1,Оправы для очков,52,20,140,135
530,La Stella,847 C.2,847C2,Оправы для очков,54,18,145,135
531,La Stella,LSO 1010 C1,LSO1010C1,Оправы для очков,57,18,140,141
532,La Stella,101 C31,101C31,Оправы для очков,52,21,140,137
533,La Stella,135 C31,135C31,Оправы для очков,54,17,140,142
534,La Stella,778 C.3,778C3,Оправы для очков,56,18,145,143
535,La Stella,382 C.3,382C3,Оправы для очков,53,18,140,132
536,La Stella,LSO 1029 C4,LSO1029C4,Оправы для очков,52,19,140,138
537,La Stella,779 C.2,779C2,Оправы для очков,58,18,145,144
538,La Stella,LSO 1073 C4,LSO1073C4,Оправы для очков,53,16,143,136
539,Carrera,"CARRERA 8857, 003",CARRERA8857003,Оправы для очков,57,17,145,140
540,Salvatore Ferragamo,1737-B 689,1737B689,Оправы для очков,53,17,135,133
541,Nano,"ISTA, NAO670548",ISTANAO670548,Оправы для очков,48,17,127,127
542,Nano,"ISTA, NAO830250",ISTANAO830250,Оправы для очков,50,19,137,137
543,Nano,"ISTA GLOW, NAO621042H",ISTAGLOWNAO621042H,Оправы для очков,42,15,107,110
544,Nano,"ISTA,  NAO740244",ISTANAO740244,Оправы для очков,44,16,127,118
545,Nano,"ISTA GLOW, NAO50156",ISTAGLOWNAO50156,Оправы для очков,44,16,127,115
546,Nano,"ISTA, NAO750642",ISTANAO750642,Оправы для очков,42,15,107,115
547,Nano,"ISTA,  NAO750342",ISTANAO750342,Оправы для очков,42,15,107,115
548,Hermossa,HMO-267 C.03,HMO267C03,Оправы для очков,55,17,145,143
549,Hermossa,HM0251 C.1,HM0251C1,Оправы для очков,55,16,140,136
550,La Stella,369 C2,369C2,Оправы для очков,51,18,138,134
551,La Stella,801M C1,801MC1,Оправы для очков,57,17,145,140
552,La Stella,119 C3133,119C3133,Оправы для очков,48,16,142,135
553,La Stella Kids,4000 C.0628,4000C0628,Оправы для очков,43,18,115,120
554,Nano,"ISTA SOLAR CLIP, NAO620442SC",ISTASOLARCLIPNAO620442SC,Оправы для очков,42,15,107,113
555,Blancia,BC-164 C.1,BC164C1,Оправы для очков,50,18,145,127
556,Blancia,BC-284 C.2,BC284C2,Оправы для очков,54,19,140,138
557,Despada,DS-5037 C.1,DS5037C1,Оправы для очков,57,17,145,146
558,Despada,DS-5023 C.2,DS5023C2,Оправы для очков,51,19,145,138
559,Eyelet Kids,EJ136 A11,EJ136A11,Оправы для очков,46,18,120,122
560,Eyelet Kids,EJ137 A7,EJ137A7,Оправы для очков,47,17,120,123
561,Eyelet Kids,EJ137 A1,EJ137A1,Оправы для очков,47,17,120,121
562,Eyelet Kids,EJ138 A11,EJ138A11,Оправы для очков,47,18,120,123
563,Eyelet Kids,EJ137 A11,EJ137A11,Оправы для очков,47,17,120,120
564,Eyelet Kids,EJ139 A12,EJ139A12,Оправы для очков,44,16,120,115
565,Eyelet Kids,EJ1310 A11,EJ1310A11,Оправы для очков,48,16,125,123
566,Eyelet Kids,EJ1310 A12,EJ1310A12,Оправы для очков,48,16,125,122
567,Safilo,"7A 097, 7C5",7A0977C5,Оправы для очков,49,21,145,135
568,Fisher Price Kids,FPV/18 C.522 (41),FPV18C52241,Оправы для очков,41,15,115,110
569,Fisher Price Kids,"FPCL003, BKL (46)",FPCL003BKL46,Оправы для очков,46,17,130,124
570,Fisher Price Kids,FPVN025 PRP (50),FPVN025PRP50,Оправы для очков,50,14,130,120
571,Fisher Price Kids,FPV/38 C.582 (42),FPV38C58242,Оправы для очков,42,15,120,113
572,Fisher Price Kids,FPV/18 C.612 (41),FPV18C61241,Оправы для очков,41,14,115,110
573,Fabiano,FA 0819 C.02,FA0819C02,Оправы для очков,59,16,150,143
574,Jessie Kids,J0802 C.3,J0802C3,Оправы для очков,45,16,125,120
575,Hermossa,HMO-268 C.01,HMO268C01,Оправы для очков,52,18,145,138
576,La Stella,381 C2,381C2,Оправы для очков,53,18,140,136
577,La Stella Kids,LSO 1094 C04,LSO1094C04,Оправы для очков,42,17,130,115
578,La Stella Kids,MC01-810 C.01K,MC01810C01K,Оправы для очков,49,15,135,125
579,Nano,"ISTA, NAO3041746",ISTANAO3041746,Оправы для очков,46,14,135,116
580,Despada Kids,DS-915 C.1,DS915C1,Оправы для очков,45,19,125,125
581,Blancia,BC-285 C3,BC285C3,Оправы для очков,54,19,140,138
582,Despada,DS-1005 C.2,DS1005C2,Оправы для очков,52,19,145,140
583,Despada,DS-1004 C.3,DS1004C3,Оправы для очков,53,17,150,139
584,Safilo,"7A 091, 003",7A091003,Оправы для очков,55,18,145,140
585,Fun Story Kids,FNS-01 C.6,FNS01C6,Оправы для очков,44,16,125,120
586,Fun Story Kids,FNS-07 C.1,FNS07C1,Оправы для очков,48,16,135,126
587,Barbie Kids,"BBV007, RED",BBV007RED,Оправы для очков,47,19,135,124
588,Barbie Kids,"BBV008, BLK",BBV008BLK,Оправы для очков,48,19,135,125
589,Ciao Ciao Kids,"CIAO, C212 C.793",CIAOC212C793,Оправы для очков,45,13,120,115
590,Winx Kids,WV044-121,WV044121,Оправы для очков,45,15,120,115
591,Winx Kids,WV050-220,WV050220,Оправы для очков,43,15,125,110
592,Winx Kids,WV017-330,WV017330,Оправы для очков,45,14,125,115
593,Winx Kids,WV038-320,WV038320,Оправы для очков,46,14,120,115
594,Hot Wheels Kids,HWV110 BLUE,HWV110BLUE,Оправы для очков,49,18,140,127
595,Hot Wheels Kids,HWV101 GRY,HWV101GRY,Оправы для очков,48,18,130,125
596,Hot Wheels Kids,HWV061-440,HWV061440,Оправы для очков,45,15,120,120
597,Hot Wheels Kids,HWV047-660,HWV047660,Оправы для очков,47,14,120,120
598,Transformers Kids,TRV023-140,TRV023140,Оправы для очков,44,16,125,115
599,Transformers Kids,TRV035-280,TRV035280,Оправы для очков,46,15,120,130
600,Transformers Kids,TRV036-280,TRV036280,Оправы для очков,47,15,120,130
601,Transformers Kids,TRV015-290,TRV015290,Оправы для очков,46,16,125,120
602,Nano,"ISTA, NAO630147",ISTANAO630147,Оправы для очков,47,16,127,123
603,Nano,"ISTA SOLAR CLIP, NAO630843SC",ISTASOLARCLIPNAO630843SC,Оправы для очков,43,15,115,115
604,Silicon Baby,NV203438,NV203438,Оправы для очков,38,13,122,105
605,Crocs Kids,JR6039 COL.80GN,JR6039COL80GN,Оправы для очков,50,15,126,127
606,Crocs Kids,JR6039 COL.50BE,JR6039COL50BE,Оправы для очков,50,15,126,126
607,Pal Zileri,PZ211 C.01,PZ211C01,Оправы для очков,55,19,138,140
608,Pal Zileri,PZ215 C.02,PZ215C02,Оправы для очков,55,19,142,140
609,Pal Zileri,PZ216 C.02,PZ216C02,Оправы для очков,53,18,140,133
610,Pal Zileri,PZ219 C.02,PZ219C02,Оправы для очков,54,18,140,135
611,Pal Zileri,PZ219 C.03,PZ219C03,Оправы для очков,54,18,140,135
612,Pal Zileri,PZ216 C.01,PZ216C01,Оправы для очков,53,18,140,134
613,Pal Zileri,PZ218 C.02,PZ218C02,Оправы для очков,54,17,140,134
614,Pal Zileri,PZ217 C.01,PZ217C01,Оправы для очков,54,18,138,135
615,Pal Zileri,PZ214 C.01,PZ214C01,Оправы для очков,54,18,142,137
616,Pal Zileri,PZ214 C.02,PZ214C02,Оправы для очков,54,18,142,135
617,Pal Zileri,PZ217 C.02,PZ217C02,Оправы для очков,54,18,138,135
618,Pal Zileri,PZ213 C.01,PZ213C01,Оправы для очков,53,18,140,140
619,Ray Ban Junior,RB 1053-4083,RB10534083,Оправы для очков,45,18,130,125
620,La Stella Kids,502 С.24,502С24,Оправы для очков,43,18,115,120
621,La Stella Kids,7010-2 C.5-6,70102C56,Оправы для очков,46,21,136,128
622,La Stella Kids,MB02-04 C.11,MB0204C11,Оправы для очков,46,18,128,122
623,La Stella Kids,LSO 1097 C02,LSO1097C02,Оправы для очков,44,17,130,120
624,La Stella Kids,LSO 1097 C04,LSO1097C04,Оправы для очков,44,17,130,120
625,Glodiatr,G 1577 C2,G1577C2,Оправы для очков,57,18,140,142
626,Chopard,VCH 162 991M,VCH162991M,Оправы для очков,54,19,145,140
627,Michael Kors,MK 4025F 3005,MK4025F3005,Оправы для очков,51,18,135,130
628,Michael Kors,MK 4042 3006,MK40423006,Оправы для очков,51,16,135,130
629,Bunoviata,CRAPA C1,CRAPAC1,Оправы для очков,50,19,135,130
630,Maxmara,"MM 1344, R6S",MM1344R6S,Оправы для очков,50,16,140,130
631,Maxmara,"MM 1407, 807",MM1407807,Оправы для очков,53,15,145,135
632,Maxmara,"MM 1215, NON",MM1215NON,Оправы для очков,55,13,140,132
633,Fisher Price Kids,FPV/27 C.592 (43),FPV27C59243,Оправы для очков,43,13,110,114
634,Fisher Price Kids,FPVN006 CHR (45),FPVN006CHR45,Оправы для очков,45,16,120,110
635,Hot Wheels Kids,HWV110 BLK,HWV110BLK,Оправы для очков,49,18,140,127
636,Nano,"ISTA, NAO50037",ISTANAO50037,Оправы для очков,42,15,107,113
637,Nano,"ISTA GLOW, NAO3001244 (50056)",ISTAGLOWNAO300124450056,Оправы для очков,44(42),13(15),116(107),112
638,Oga,7654O GG062,7654OGG062,Оправы для очков,55,16,140,133
639,Nomad,2719N MW021,2719NMW021,Оправы для очков,56,17,140,136
640,Lastrada,F6387 C1,F6387C1,Оправы для очков,43,20,140,128
641,Lastrada,WS-E0987 C1,WSE0987C1,Оправы для очков,58,17,140,145
642,Lastrada,11013/17 C4,1101317C4,Оправы для очков,57,17,140,140
643,Lastrada,F6397 C4,F6397C4,Оправы для очков,55,18,140,137
644,Lastrada,11038/16 C4,1103816C4,Оправы для очков,52,20,142,140
645,Lastrada,2041/16 C2,204116C2,Оправы для очков,52,22,140,135
646,Lastrada,9206/2014 C2,92062014C2,Оправы для очков,55,17,140,138
647,Demetz,PULSA2 DHA0242 BLACK,PULSA2DHA0242BLACK,Оправы для очков,74,14,130,146
648,Maxmara,"MM 1151, 807",MM1151807,Оправы для очков,53,16,135,132
649,Maxmara,"MM 1233, CJ6",MM1233CJ6,Оправы для очков,53,15,135,140
650,Maxmara,"MM 1241, FQK",MM1241FQK,Оправы для очков,54,17,135,135
651,Maxmara,"MM 1231, CNB",MM1231CNB,Оправы для очков,53,15,140,130
652,Maxmara,"MM 1213, NL8",MM1213NL8,Оправы для очков,52,16,140,132
653,Maxmara,"MM 1128, 0LDX",MM11280LDX,Оправы для очков,54,16,135,130
654,Maxmara,"MM 1085/U, YBG",MM1085UYBG,Оправы для очков,52,18,135,130
655,Maxmara,"MM 1199, 8WP",MM11998WP,Оправы для очков,52,17,140,130
656,Nano,"ISTA, NAO3180744",ISTANAO3180744,Оправы для очков,44,14,120,113
657,Glodiatr,"BLACK (+1,0; +1,5: +2,0)",BLACK1015:20,Оправы для очков,56,19,145,130
658,Nano,"ISTA, NAO3040348",ISTANAO3040348,Оправы для очков,48,14,135,120
659,Nano,"ISTA, NAO3060244 (650842)",ISTANAO3060244650842,Оправы для очков,44(42),13(15),120(115),113
660,Nano,"ISTA, NAO3150648",ISTANAO3150648,Оправы для очков,48,16,133,125
661,Clic,"VISION ZERO, CRRF-M (+1,5)",VISIONZEROCRRFM15,Оправы для очков,42,18,0,140
662,Clic,"EXECUTIVE, CXR-22 (+1,5;+2.0)",EXECUTIVECXR221520,Оправы для очков,54,18,0,150
663,Clic,"EXECUTIVE, CXN-22 (+1,5;+2,0; +3,0)",EXECUTIVECXN22152030,Оправы для очков,55,19,0,150
664,Unique You,UQ 406 C003,UQ406C003,Оправы для очков,56,18,140,140
665,Ecoflex,EF 039L C.03,EF039LC03,Оправы для очков,52,18,138,134
666,Ecoflex,EF 055L C.02,EF055LC02,Оправы для очков,54,16,138,128
667,Oga,7769O GG081,7769OGG081,Оправы для очков,53,17,140,133
668,Nano,"ISTA, NAO3050549",ISTANAO3050549,Оправы для очков,49,14,136,123
669,Boss Hugo Boss,"HG 1155, RZZ",HG1155RZZ,Оправы для очков,56,18,145,142
670,Retro,GERRY WEBER GW 5178 COL.1,GERRYWEBERGW5178COL1,Оправы для очков,54,17,135,140
671,Fabiano,FA-652022 C2,FA652022C2,Оправы для очков,50,20,140,137
