	Бренд	Модель	Ширина линзы (мм)	Мост (мм)	Длина заушника (мм)	Ширина оправы (мм)
948	Essilor	X*ion Ormix 1.61 Acclimates Grey Crizal Alize UV (R)				
949	Essilor	X'ion Orma 1.5 Acclimates Grey Crizal Alize UV (R)				
950	Essilor	X'ion Orma 1.5 Acclimates Brown Crizal Alize UV (R)				
951	Essilor	X'ion Orma 1.5 Crizal Alize UV (R)				
952	Essilor	X*ion Ormix 1.61 Crizal Alize UV (R)				
953	Despada	DS-1035 c.1	52	18	140	135
954	Despada	DS-5023 c.3	51	19	145	137
955	Despada	DS-1714 c.3	54	21	144	140
956	Despada	DS-1926 c.1	56	17	145	140
957	Despada	DS-2200 c.3	61	17	145	138
958	Despada	DS-2080 c.4	57	18	142	145
959	Despada	DS-989 c.2	56	17	145	142
960	Despada	DS-2087 04	52	20	148	141
961	Despada	DS-986 c.01	54	17	142	136
962	Despada	DS-5065 c.02	45	26	147	140
963	Despada	DS-5014 c.1	53	18	140	135
964	Despada	DS-2245 c.1	52	21	140	144
965	Despada	DS-5003 c.3	56	18	145	142
966	Despada	DS-1037 c.1	55	18	145	136
967	La Stella	771 C1	55	19	145	138
968	La Stella	778 C2	56	18	145	142
969	La Stella Kids	131 C31	48	17	140	128
970	La Stella Kids	MC01-10 c.04	45	18	135	118
971	La Stella Kids	LSO 1060 C04	51	15	135	127
972	La Stella Kids	7020-2 c.1-17	47	17	124	123
973	La Stella Kids	720-2 c.5-3	47	17	124	124
974	Porsche Design	P8801 F (+1,0;+1,5;+2,0;+2,5)	48	21	150	133
975	Porsche Design	P8801 A  (+1,0;+1,5;+2,0)	48	21	150	134
976	Calvin Klein	CKJ 813S 519	52	17	135	135
977	Calvin Klein	CKJ 799S 108	51	22	140	135
978	Calvin Klein	CKJ 795S 215	52	18	140	135
979	Calvin Klein	CK 5444 610	51	18	135	135
980	Tom Ford	TF 339, 09F	57	16	140	140
981	Despada	DS-2083 c.03	56	20	148	145
982	Despada	DS-2081 c.1	58	20	143	145
983	Armani Exchange	AX1036-6088	55	18	145	135
984	Armani Exchange	AX1018-6017	54	17	140	137
985	Armani Exchange	AX1050-6099	56	17	145	139
986	Haven	Dahlia1 3HSG11690S1	60	16	130	140
987	Haven	Sunset 3HC643S	60	15	130	140
988	Haven	Meridian 3H5653ST	60	15	140	140
989	Haven	Balboa 3HK6W0S	60	16	130	140
990	Haven	Rainier 3HX653ST	62	16	130	140
991	Haven	Everest 3HXX600S	68	15	135	145
992	Pensne	PO-S (b)	40	16		92
993	Polivizor	Солнцезащитные очки  Polivizor 10813	63	14	138	146
994	Polivizor	WJ450 c.2	64	17	135	143
995	Polivizor	SQ88329 c.6	55	15	135	136
996	Top Vision	Очковая линза Top Vision 1.5 HMC Transitions XTRActive				
997	Osa	Очковая Линза OSA-LITE 1.67 AS EMI/UV400/HMC				
998	Osa	Очковая Линза OSA-LITE 1.61 EMI/UV400/HMC				
999	Osa	Очковая Линза OSA-LITE 1.56 EMI/UV400/HMC				
1000	Osa	Очковая Линза OSA-LITE 1.5 EMI/UV400/HMC				
1001	Osa	Очковая Линза OSA SUN-X SPEED Grey/Brown 1.56 EMI/UV400/HMC				
1002	Osa	GreyMatic/BrownMatic 1.56 EMI/UV400/HMC				
1003	Osa	Очковая Линза OSA POLY LENS 1.59 EMI/UV400/HMC				
1004	Osa	Очковая Линза OSA-LITE 1.50 BIFOCAL FLATTOP HC				
1005	Osa	Очковая Линза OSA-LITE 1.50 BIFOCAL FLATTOP EMI HMC				
1006	Osa	Очковая Линза OSA-LITE 1.56 ECOLITE BIFOCAL FLATTOP HMC EMI/UV400/HMC фотохромные бифокальные BROWN				
1007	Osa	Очковая Линза OSA-LITE 1.56 BIFOCAL FLATTOP EMI/HMC				
1008	Osa	Очковая Линза OSA OFFICE SEVO-STUDIO LENS 1.50 EMI/UV400/HMC				
1009	Zeiss	Digital Lens SmartLife 1.5 DV Blue Protect				
1010	Zeiss	Digital Lens SmartLife 1.6 DV Blue Protect				
1011	Zeiss	Single Vision AS 1.6 DV Drive Safe				
1012	Zeiss	Single Vision 1.5 DV Drive Safe				
1013	Zeiss	Single Vision AS 1.67 DV DriveSafe (E)				
1014	Zeiss	Single Vision ClearView 1.74 DV Platinum				
1015	Mekk By Kodak	Очковая Линза MEKK 1.56 SHMC Organic Middle				
1016	Mekk By Kodak	Очковая Линза MEKK 1.56 SHMC D55 Organic Middle				
1017	Essilor	1.6 Ormix Crizal Sapphire UV				
1018	Intramekk (сингапур)	Очковая Линза INTRA MEKK FSV 1.56 HMC				
1019	Intramekk (сингапур)	Очковая Линза INTRA MEKK FSV 1.6 HMC				
1020	Despada	DS-2021 c.4	57	17	142	139
1021	Riva	Оправа RIVA 8576 C1/C4	58	17	145	145
1022	Nano	NAO2010344	44	18	125	120
1023	Nano	NAO2010444	44	18	125	120
1024	Nano	NAO2030145	45	16	130	117
1025	Nano	NAO2060247	47	17	130	120
1026	Top Vision	Очковая линза TOP VISON 1.5 с терапевтическим фильтром Blue barrier HMC				
1027	Top Vision	Очковая линза TOP VISON AS 1.5 с терапевтическим фильтром Blue barrier HMC				
1028	Top Vision	Очковая линза TOP VISON 1.6 с терапевтическим фильтром Blue Barrier HMC				
1029	Top Vision	Очковая линза TOP VISON 1.67 с терапевтическим фильтром Blue barrier HMC				
1030	Top Vision	Очковая линза TOP VISON AS 1.67 с терапевтическим фильтром Blue barrier HMC				
1031	Top Vision	Очковая линза TOP VISON AS 1.6 с терапевтическим фильтром Blue barrier HMC				
1032	Armani Exchange	AX1014-6063	53	17	145	136
1033	Ciao Ciao Kids	C278 PK	45	15	125	115
1034	Jessie Kids	JSWE-1406 c.3	48	17	137	130
1035	Despada	DS-2086 01	52	21	143	144
1036	Despada	DS-812 c.1	53	18	145	140
1037	Despada	DS-2222 c.1	60	15	145	140
1038	Despada	DS-2023 c.2	62	18	134	143
1039	Despada	DS-2063 c.2	50	22	148	144
1040	Despada	DS-1797 c.1	55	18	144	142
1041	Despada	DS-1627 c.4	52	20	144	131
1042	Despada	DS-1999 c.5	55	17	145	141
1043	Despada	DS-5023 c.1	51	19	145	137
1044	Despada	DS-1929 c.2	50	21	145	125
1045	Despada	DS-1005 c.3	52	19	145	140
1046	Despada	DS-1970 c.1	55	18	145	142
1047	Despada	DS-965 c.03	59	17	142	144
1048	Despada	DS-1958 c.1	56	17	147	144
1049	Despada	DS-5000 c.3	54	16	140	138
1050	Despada	DS-2209 c.4	53	21	145	135
1051	Despada	DS-1658 c.4	54	17	138	140
1052	Despada	DS-2222 c.3	60	15	145	138
1053	Despada	DS-841 c.1	54	15	143	134
1054	Despada	DS-778 c.3	49	20	140	128
1055	Despada	DS-868 c.3	54	16	141	134
1056	Despada	DS-1894 c.2	61	17	137	142
1057	Despada	DS-1037 c.2	55	18	145	135
1058	Top Vision	Очковая Линза Top Vision 1.5 Nu Polar Brown без покрытия				
1059	Top Vision	Очковая Линза Top Vision 1.5 AS Nu Polar Brown без покрытия				
1060	Top Vision	Очковая Линза Top Vision 1.5 Nu Polar HMC Brown/Grey				
1061	Top Vision	Очковая Линза Top Vision 1.5 AS Nu Polar HMC Brown/Grey				
1062	Top Vision	Очковая Линза Top Vision 1.6 Nu Polar HMC Brown/Grey				
1063	Top Vision	Очковая Линза Top Vision 1.6 AS Nu Polar HMC Brown/Grey				
1064	Top Vision	Очковая Линза Top Vision 1.67 Nu Polar HMC Brown/Grey				
1065	Top Vision	Очковая Линза Top Vision 1.67 AS Nu Polar HMC Brown/Grey				
1066	Fabiano	FA-0821 C02	52	20	150	135
1067	Safilo	S 315, DOH	49	20	130	130
1068	Safilo	7A 069, 003	56	18	145	140
1069	Safilo	7A 078, 010	55	17	145	135
1070	Safilo	7A 096, KB7	55	16	145	135
1071	Essilor	Очковая линза Orma Physiotint 1.5 Grey/Brown Тонированная				
1072	Nikon	Очковая линза Nikon Lite SP Tinted 31 оттенок на выбор				
1073	Top Vision	Очковая линза Top Vision 1.5 HMC Тонированная				
1074	Hermossa	HMO341 c.03	53	15	145	134
1075	Hermossa	HMO-262 c.2	52	17	145	137
1076	Hermossa	HM-1308 C1	58	17	140	142
1077	Hermossa	HM0258 c.3	53	15	140	136
1078	Hermossa	HMO-272 c.02	56	15	145	143
1079	Hermossa	HMO-268 c.03	52	18	145	138
1080	Hermossa	HMO370 c.03	51	21	140	132
1081	Hermossa	HM-1263 C2	68	17	143	138
1082	Hermossa	HM-1600  01	45	17	145	140
1083	Despada	DS-1022 c.3	53	17	145	140
1084	Despada	DS-1051 c.3	51	19	142	133
1085	Despada	DS-1819 c.1	69	15	145	142
1086	Despada	DS-5068 c.4	56	16	140	137
1087	Despada	DS-5003 c.2	56	18	145	142
1088	Despada	DS-5008 c.1	54	17	140	130
1089	Despada	DS-5102 c.2	55	17	140	138
1090	Despada	DS-921 c.1	55	16	140	135
1091	Despada	DS-5093 c.2	56	17	140	138
1092	Despada	DS-5091 c.2	54	17	145	140
1093	Riva	Оправа RIVA 9725 C3/C1	53	19	145	141
1094	Riva	Оправа RIVA 9647 C6	51	19	140	137
1095	Riva	Оправа RIVA 8659 C7	60	15	145	148
1096	Riva	Оправа RIVA 8765 C5	55	16	135	138
1097	You's	Оправа You'S 855 - 61	52	18	140	128
1098	Synchrony	Synchrony Single Vision 1.5 HMC				
1099	Shamir	Очковая линза Shamir Blue Zero 1.50 Glacier				
1100	Shamir	Очковая линза Shamir Altolite 1.50 HMC Big				
1101	Shamir	Очковая линза Shamir Altolite 1.56 Glacier Blue-Shield				
1102	Shamir	Очковая линза Shamir Altolite 1.61 НМС				
1103	Shamir	Очковая линза Shamir Altolite 1.50 HMC Office Degression Power 1.00/1.33				
1104	Shamir	Очковая линза Shamir Altolite 1.56 HMC Progressive Fpal 13				
1105	Shamir	Очковая линза Shamir Eyezen Lite 1.56 Glacier				
1106	Shamir	Очковая линза Shamir Altolite 1.50 HMC Kids				
1107	Polivizor Kids	Оправа Polivizor Kids 1032 c.4	42	15	120	115
1108	Shamir	Очковая линза Shamir Altolite 1.56 HMC				
1109	Shamir	Очковая линза Shamir Altolite 1.61 Glacier				
1110	Shamir	Очковая линза Shamir Altolite 1.61 AS Glacier				
1111	Shamir	Очковая линза Shamir Altolite 1.67 AS Glacier				
1112	Shamir	Очковая линза Shamir Altolite 1.74 AS Glacier				
1113	Shamir	Очковая линза Shamir Altolite 1.50 Transitions XTRActive HMC (GREY)				
1114	Shamir	GREY)				
1115	Shamir	GREY)				
1116	Polivizor	MY14-AC061 c.3	54	17	135	130
1117	Polivizor	J2193 c.4	52	17	140	135
1118	Polivizor	J2193 c.9	52	17	135	135
1119	Polivizor	S0434A c.2	56	12	140	135
1120	Polivizor	Оправа Polivizor 3355	53	17	135	135
1121	Polivizor	J3363 c.7	54	16	135	138
1122	Polivizor	J3847 c.8	50	16	140	133
1123	Kodak	Очковая линза KODAK 1.50 CleAR				
1124	Kodak	Очковая линза KODAK 1.50 Clean'N'CleAR				
1125	Kodak	Очковая линза KODAK 1.56 утонченная и облегченная				
1126	Kodak	Очковая линза KODAK 1.60 UV 400 CleAR				
1127	Kodak	Очковая линза KODAK 1.60 UV 400 Clean'N'CleAR				
1128	Kodak	Очковая линза KODAK 1.60 Asph. UV 400 CleAR				
1129	Kodak	Очковая линза KODAK 1.60 Asph. UV 400 Clean'N'CleAR				
1130	Kodak	67 Asph UV 400 CleAR				
1131	Kodak	67 Asph UV 400 Clean'N'CleAR				
1132	Kodak	Очковая линза KODAK 1.74 Asph UV 400 Clean'N'CleAR				
1133	Polivizor	MY13-AC055 c.6	52	14	135	130
1134	Polivizor	J3370 c.7	52	15	140	135
1135	Neolook (линзы)	Очковая линза NEOLOOK Aculite 1.74 AS Aquamare				
1136	Neolook (линзы)	Очковая линза NEOLOOK Vertex 1.67 AS Optimo				
1137	Neolook (линзы)	Очковая линза NEOLOOK Aculite 1.67 AS Aquamare				
1138	Neolook (линзы)	Очковая линза NEOLOOK Vertex 1.61 AS Optimo				
1139	Neolook (линзы)	Очковая линза NEOLOOK Aculite 1.61 AS Aquamare				
1140	Neolook (линзы)	Очковая линза NEOLOOK Vertex 1.61 SP Optimo				
1141	Neolook (линзы)	Очковая линза NEOLOOK Aculite 1.61 SP BRC (Blue Ray Control)				
1142	Neolook (линзы)	Очковая линза NEOLOOK Vertex 1.59 SP Polycarbonate Optimo				
1143	Neolook (линзы)	Очковая линза NEOLOOK Vertex 1.56 SP BLP (UV415) Optimo				
1144	Neolook (линзы)	Очковая линза NEOLOOK Grado 1.56 SP Photochromic Optimo (Grey/Brown)				
1145	Neolook (линзы)	Очковая линза NEOLOOK Grado 1.56 SP Photochromic Aquamare (Grey/Brown)				
1146	Neolook (линзы)	Очковая линза NEOLOOK Vertex 1.56 SP Optimo				
1147	Neolook (линзы)	Очковая линза NEOLOOK Aculite 1.56 SP Aquamare				
1148	Neolook (линзы)	Очковая линза NEOLOOK Vertex 1.56 AS Optimo				
1149	Neolook (линзы)	Очковая линза NEOLOOK Aculite 1.56 AS Aquamare				
1150	Neolook (линзы)	Очковая линза NEOLOOK Aculite 1.56 AF FRESH  Aquamare				
1151	Neolook (линзы)	Очковая линза NEOLOOK Vertex 1.56 SP TH				
1152	Neolook (линзы)	Очковая линза NEOLOOK Grado 1.56 SP Tinted 85% Brown/Grey back Optimo				
1153	Neolook (линзы)	Очковая линза NEOLOOK Grado 1.56 SP Tinted 15% Brown/Grey Optimo				
1154	Neolook (линзы)	Очковая линза NEOLOOK Vertex 1.50 BF FT28 NC				
1155	Neolook (линзы)	Очковая линза NEOLOOK Vertex 1.50 BF FT28 Optimo				
1156	Neolook (линзы)	Очковая линза NEOLOOK Grado 1.5 SP Polar Brown/Grey/Green 80% back Optimo				
1157	Nano	NAO3050249	49	14	136	124
1158	Nano	NAO750444	44	16	127	120
1159	Nano	NAO620442	42	15	107	114
1160	Nano	NAO3170154	54	16	148	137
1161	Nano	NAO571044	44	16	127	120
1162	Nano	NAO3040646	46	14	135	116
1163	Porsche Design	P8340, A	57	16	145	140
1164	Calvin Klein	CK 5978 001	48	20	145	140
1165	Calvin Klein	CK 5831 317	52	19	145	138
1166	Calvin Klein	CK 5965 001	52	19	140	140
1167	Essilor	Очковая линза ESSILOR FSV Blue lite 1.56 Crizal Easy pro				
1168	Essilor	Очковая линза Essilor e-Lens 1.56 Crizal Alize Blue UV				
1169	Essilor	Очковая линза ESSILOR VX Start 080 1.5 Crizal Easy UV				
1170	Essilor	Очковая линза ESSILOR VX Start 080 1.5 Crizal Alize+ UV				
1171	Essilor	Очковая линза ESSILOR VX Start 130 1.5 Crizal Alize+ UV				
1172	Essilor	Очковая линза ESSILOR VX Start 130 1.5 Crizal Easy UV				
1173	Essilor	Очковая Линза ESSILOR VX Comfort MAX 1.6 Crizal Easy UV				
1174	Essilor	Очковая Линза ESSILOR VX Comfort MAX 1.67 Crizal Easy UV				
1175	Essilor	Очковая Линза ESSILOR VX Comfort MAX 1.59 Crizal Easy UV				
1176	Essilor	Очковая Линза ESSILOR VX Comfort MAX 1.5 Crizal Easy UV				
1177	Synchrony	Synchrony Single Vision 1.5 HMC Blue				
1178	Synchrony	Synchrony Single Vision AS 1.6 HMC Blue				
1179	Essilor	FSV 1.56 Crizal Easy pro				
1180	Nano	NAO3120448	48	15	132	125
1181	Nano	NAO3180446	46	14	132	116
1182	Nano	NAO50152	44	16	127	116
1183	Essilor	AS Ormix 1.61 Crizal Easy UV				
1184	Barracuda Kids	BJ-601 c.1	48	17	135	122
1185	Jessie Kids	JS 1608 c.2	45	15	130	120
1186	Jessie Kids	JSGH-1915 c.1	44	14	115	115
1187	Essilor	Stylis 1.67 Crizal Easy pro				
1188	Osa	Очковая линза OSA-LITE  1.56 ECOLITE BIFOCAL EMI/UV400/HMC фотохромные бифокальные GREY				
1189	Polivizor	J3363 c.9	55	17	145	140
1190	Rivera	Оправа RIVERA 5709 C2	55	19	135	130
1191	Riviera	RVS-112215 c2	52	16	140	133
1192	Riviera	RV0718 c5	57	18	145	142
1193	Riviera	RVS 817 c.5	51	17	140	133
1194	Riviera	RV 0711 c.5	56	14	142	143
1195	Barbie Kids	BAV005-133	53	15	135	130
1196	Barbie Kids	BAV005-111	53	15	135	127
1197	Fisher Price Kids	FPV/19 c.520 (39)	39	15	115	120
1198	Fisher Price Kids	FPVN003 CHR (46)	46	14	120	118
1199	Fisher Price Kids	Солнцезащитные очки  Fisher Price, FIPS 57 c.560	46	16	100	110
1200	Fun Story Kids	FNS-09 c.9	48	14	125	122
1201	Fun Story Kids	FNS-03 c.7	50	16	135	130
1202	Fisher Price Kids	FPV/27 c.611 (43)	43	13	110	112
1203	Fisher Price Kids	FPV/42 c.614 (39)	39	13	115	104
1204	Fisher Price Kids	FPCL002, GREY (47)	47	16	130	124
1205	Fisher Price Kids	FPV/28 c.593 (43)	43	13	110	113
1206	Fisher Price Kids	FPV/28 c.530 (43)	43	13	110	114
1207	Fisher Price Kids	FPVN003 VLT (46)	46	14	120	118
1208	Fisher Price Kids	FPVN006 SKY (45)	45	16	120	111
1209	Fisher Price Kids	FPV/27 c.592 (40)	40	13	110	107
1210	Fisher Price Kids	FPCL003 GREY (46)	46	17	130	123
1211	Fisher Price Kids	FPV/28 c.550(43)	43	14	120	115
1212	Fisher Price Kids	FPV/40 c.520 (42)	42	15	120	113
1213	Fisher Price Kids	FPVN013 PRP (45)	45	17	130	119
1214	Fisher Price Kids	FPV/19 c.520 (36)	36	15	115	110
1215	Fisher Price Kids	FPVN017 PTL (48)	48	15	135	123
1216	Fisher Price Kids	FPV/18 c.522 (38)	38	14	115	100
1217	Fisher Price Kids	FPV/18 c.613 (38)	38	14	115	105
1218	Riviera	RVS-112213 c2	54	16	140	133
1219	Riviera	RVS-919M c5	52	17	140	126
1220	Riviera	RVS-919M c4	52	17	140	127
1221	Silicon Baby	NV230436	36	14	122	104
1222	Silicon Baby	NV161036	36	14	105	105
1223	Silicon Baby	NV230434	34	14	122	110
1224	Crocs	CF3158 col.50BE	53	17	138	130
1225	La Stella	Оправа LA STELLA 838 c.3	56	18	150	140
1226	La Stella	773 C2	54	18	145	135
1227	La Stella	Оправа LA STELLA 317 c.2	57	17	142	140
1228	La Stella	Оправа LA STELLA 308 c.1	58	18	145	140
1229	La Stella	Оправа LA STELLA 829 C3	54	17	140	136
1230	La Stella	LSO 1018 C1	52	20	140	135
1231	La Stella	Оправа LA STELLA 7011 c.39	51	20	136	140
1232	La Stella	Оправа LA STELLA 847 c.2	54	18	145	135
1233	La Stella	Оправа LA STELLA 758 col.165	47	19	135	133
1234	La Stella	Оправа LA STELLA 905 c.01	54	16	140	144
1235	La Stella	LSO 1010 C1	57	18	140	141
1236	La Stella	101 C31	52	21	140	137
1237	La Stella	Оправа LA STELLA 135 C31	54	17	140	142
1238	La Stella	Оправа LA STELLA 329 c.3	57	18	145	140
1239	La Stella	Оправа LA STELLA 8010 c.4306	54	19	144	147
1240	La Stella	839 C1	56	18	150	140
1241	La Stella	Оправа LA STELLA 778 c.3	56	18	145	143
1242	La Stella	Оправа LA STELLA 382 c.3	53	18	140	132
1243	La Stella	LSO 1029 C4	52	19	140	138
1244	La Stella	Оправа LA STELLA 227 c.33	49	21	135	135
1245	La Stella	LSO 1038 C3	54	18	140	138
1246	La Stella	Оправа LA STELLA 159 C31	52	18	143	139
1247	La Stella	Оправа LA STELLA 779 c.2	58	18	145	144
1248	La Stella	LSO 1073 C4	53	16	143	136
1249	Seventh Street Kids	S 314, 84J	51	14	130	128
1250	Carrera	CA 9920, T1M	57	17	145	143
1251	Carrera	CARRERA 8857, 003	57	17	145	140
1252	Concord	Очковая Линза CONCORD Extra DRIVE 1.56 Photo Orange-Gray				
1253	Salvatore Ferragamo	1737-B 689	53	17	135	133
1254	Essilor	1.67 Stylis Crizal Sapphire UV				
1255	Essilor	1.6 AS Ormix Crizal Sapphire UV				
1256	Essilor	Очковая линза Essilor Orma 1.5 Acclimates II Grey/Brown Trio				
1257	Nano	NAO130148	48	17	130	122
1258	Nano	NAO190250	50	17	130	125
1259	Nano	NAO3041244	44	13	117	114
1260	Nano	NAO2070248	48	17	130	125
1261	Essilor	Очковая Линза ESSILOR VX Liberty 3.0 1.5 Crizal Easy UV				
1262	Essilor	Очковая Линза ESSILOR VX Liberty 3.0 1.6 Crizal Easy UV				
1263	Essilor	Очковая Линза ESSILOR VX Liberty 3.0 1.59 Crizal Easy UV				
1264	Nano	NAO50110	44	16	127	115
1265	Nano	NAO670548	48	17	127	127
1266	Nano	NAO830250	50	19	137	137
1267	Nano	NAO621042H	42	15	107	110
1268	Nano	NAO740144	44	16	127	118
1269	Essilor	Очковая линза ESSILOR VX Liberty 3.0 1.5 Crizal Easy UV Transitions GEN8				
1270	Nano	NAO740244	44	16	127	118
1271	Essilor	Очковая линза ESSILOR VX Liberty 3.0 1.6 Crizal Easy UV Transitions GEN8				
1272	Essilor	Очковая линза ESSILOR VX Liberty 3.0 1.59 Crizal Easy UV Transitions GEN8				
1273	Nano	NAO50156	44	16	127	115
1274	Nano	NAO3050645	45	13	123	115
1275	Nano	NAO750142	42	15	107	115
1276	Nano	NAO750642	42	15	107	115
1277	Nano	NAO750144	44	16	127	120
1278	Nano	NAO750342	42	15	107	115
1279	Tokai	1.5 Lutina SPS -SUPER POWER SHIELD				
1280	Osa	Очковая линза OSA Transitions VI AS 1.56 EMI/HMC+				
1281	Hermossa	HM-1302 C3	55	19	145	137
1282	Hermossa	HMO-267 c.03	55	17	145	143
1283	Hermossa	HM0251 c.1	55	16	140	136
1284	La Stella	369 C2	51	18	138	134
1285	La Stella	Оправа LA STELLA 617 c.2	51	18	140	132
1286	La Stella	801m C1	57	17	145	140
1287	La Stella	Оправа LA STELLA 845 c.3	55	18	150	140
1288	La Stella	Оправа LA STELLA 119 C3133	48	16	142	135
1289	La Stella Kids	MC01-10 c.01V	45	18	135	120
1290	La Stella Kids	4000 c.0628	43	18	115	120
1291	Blancia	BC184 c.3	53	19	140	135
1292	Blancia	BC-1142 C1	62	15	140	148
1293	Blancia	BC-1247 C3	60	20	153	146
1294	Blancia	BC-1249 С2	59	1	150	145
1295	Blancia	BC-1247 C1	60	20	153	145
1296	Blancia	BC-1247 C2	60	20	153	145
1297	Nano	NAO620442SC	42	15	107	113
1298	Blancia	BC-1252 C2	59	16	148	146
1299	Blancia	BC-1245 C1	65	14	150	144
1300	Blancia	BC-290 c.4	54	18	140	136
1301	Blancia	BC-164 c.1	50	18	145	127
1302	Blancia	BC-191 c.2	50	20	140	138
1303	Blancia	BC-300 c.2	58	17	148	140
1304	Blancia	BC-266 c.2	54	21	145	135
1305	Blancia	BC-289 c.3	55	18	140	138
1306	Blancia	BC-171 c.1	57	17	140	141
1307	Blancia	BC-284 c.2	54	19	140	138
1308	Porsche Design	P8112 С	56	17	145	139
1309	Despada	DS-5037 c.1	57	17	145	146
1310	Despada	DS-5023 c.2	51	19	145	138
1311	Eyelet Kids	Оправа EYELET, EJ136 A11	46	18	120	122
1312	Eyelet Kids	Оправа EYELET, EJ137 A7	47	17	120	123
1313	Eyelet Kids	Оправа EYELET, EJ137 A1	47	17	120	121
1314	Eyelet Kids	Оправа EYELET, EJ138 A11	47	18	120	123
1315	Eyelet Kids	Оправа EYELET, EJ137 A11	47	17	120	120
1316	Eyelet Kids	Оправа EYELET, EJ139 A12	44	16	120	115
1317	Eyelet Kids	Оправа EYELET, EJ1310 A11	48	16	125	123
1318	Eyelet Kids	Оправа EYELET, EJ1310 A12	48	16	125	122
1319	Safilo	7A 097, 7C5	49	21	145	135
1320	Seventh Street Kids	S 286, KB7	51	15	135	130
1321	Safilo	7A 090, 003	55	17	145	136
1322	Fisher Price Kids	FPV/18 c.522 (41)	41	15	115	110
1323	Fisher Price Kids	FPV/28 c.610 (43)	43	13	110	115
1324	Fisher Price Kids	FPV/19 c.580 (39)	39	15	115	110
1325	Fisher Price Kids	FPCL003, BKL (46)	46	17	130	124
1326	Fisher Price Kids	FPV/18 c.580 (38)	38	14	115	112
1327	Fisher Price Kids	FPVN014 PNK (44)	44	15	130	115
1328	Fisher Price Kids	FPVN025 PRP (50)	50	14	130	120
1329	Fisher Price Kids	FPVN015 BLUE (45)	45	15	130	117
1330	Fisher Price Kids	FPV/18 c.612 (38)	38	14	115	110
1331	Fisher Price Kids	FPVN021 SMK (47)	47	16	130	122
1332	Fisher Price Kids	FPV/27 c.522 (43)	43	13	110	99
1333	Fisher Price Kids	FPV/10 c.419 (38)	38	14	115	102
1334	Fisher Price Kids	FPV/30 c.530 (41)	41	14	110	110
1335	Fisher Price Kids	FPV/38 c.582 (42)	42	15	120	113
1336	Fisher Price Kids	FPV/18 BLUE (38)	38	15	115	110
1337	Shamir	Очковая Линза Shamir 1.5 Glacier Duo				
1338	Shamir	Очковая Линза Shamir 1.5 Glacier Duo Transitions Gen 8/XTRActive				
1339	Shamir	Очковая Линза Shamir 1.5 Glacier Duo Polarized				
1340	Shamir	Очковая Линза Shamir 1.59 Glacier Duo				
1341	Shamir	Очковая Линза Shamir 1.59 Glacier Duo Transitions Gen 8/XTRActive				
1342	Shamir	Очковая Линза Shamir 1.59 Glacier Duo Polarized				
1343	Shamir	Очковая Линза Shamir 1.6 Glacier Duo				
1344	Shamir	Очковая Линза Shamir 1.6 Glacier Duo Transitions Gen 8/XTRActive				
1345	Shamir	Очковая Линза Shamir 1.6 Glacier Duo Polarized				
1346	Shamir	Очковая Линза Shamir 1.67 Glacier Duo				
1347	Shamir	Очковая Линза Shamir 1.67 Glacier Duo Transitions Gen 8/XTRActive				
1348	Shamir	Очковая Линза Shamir 1.67 Glacier Duo Polarized				
1349	Shamir	Очковая Линза Shamir 1.74 Glacier Duo				
1350	Shamir	Очковая Линза Shamir 1.74 Glacier Duo Transitions Gen 8				
1351	Shamir	Очковая Линза Shamir 1.5 Glacier Smart SV				
1352	Shamir	Очковая Линза Shamir 1.5 Glacier Smart SV Transitions Gen 8/XTRActive				
1353	Shamir	Очковая Линза Shamir 1.5 Glacier Smart SV Polarized				
1354	Shamir	Очковая Линза Shamir 1.5 Glacier Smart SV DriveWear				
1355	Shamir	Очковая Линза Shamir 1.59 Glacier Smart SV				
1356	Shamir	Очковая Линза Shamir 1.59 Glacier Smart SV Transitions Gen 8/XTRActive				
1357	Shamir	Очковая Линза Shamir 1.59 Glacier Smart SV Polarized				
1358	Shamir	Очковая Линза Shamir 1.59 Glacier Smart SV DriveWear				
1359	Shamir	Очковая Линза Shamir 1.6 Glacier Smart SV				
1360	Shamir	Очковая Линза Shamir 1.6 Glacier Smart SV Transitions Gen 8/XTRActive				
1361	Shamir	Очковая Линза Shamir 1.6 Glacier Smart SV Polarized				
1362	Shamir	Очковая Линза Shamir 1.6 Glacier Smart SV BlueZero				
1363	Shamir	Очковая Линза Shamir 1.67 Glacier Smart SV				
1364	Shamir	Очковая Линза Shamir 1.67 Glacier Smart SV Transitions Gen 8/XTRActive				
1365	Shamir	Очковая Линза Shamir 1.67 Glacier Smart SV Polarized				
1366	Shamir	Очковая Линза Shamir 1.67 Glacier Smart SV BlueZero				
1367	Shamir	Очковая Линза Shamir 1.74 Glacier Smart SV				
1368	Shamir	Очковая Линза Shamir 1.74 Glacier Smart SV Transitions Gen 8				
1369	Shamir	Очковая Линза Shamir 1.5 Glacier SV RX				
1370	Shamir	Очковая Линза Shamir 1.5 Glacier SV RX Transitions Gen 8/XTRActive				
1371	Shamir	Очковая Линза Shamir 1.5 Glacier SV RX Polarized				
1372	Shamir	Очковая Линза Shamir 1.5 Glacier SV RX DriveWear				
1373	Shamir	Очковая Линза Shamir 1.59 Glacier SV RX				
1374	Shamir	Очковая Линза Shamir 1.59 Glacier SV RX Transitions Gen 8/XTRActive				
